keep,public_any,pct_data_public,var_name,var_label,var_def,domain,subdomain,dataset_instance,n_data_pts_public,n_data_pts_private,n_data_pts_total,intermediate_metadata
1,yes,94%,CNSSE2,Service provision score,"Refers to services that cities provide to dwellings. This score includes two variables: (1) the percentage of households with access to water source from a municipal public or private water network, and (2) the percentage of households with sewage system connected to a municipal public or private sewage network. The score was created by summing the Z-scores for each variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). Higher score values signify better service provision in cities. ","Social, Economic, and Services Environment",Housing and Infrastructure,SEC_INDEXSCORES_v1.0,3697,248,3945,""
1,yes,94%,CNSSE3,Population educational attainment score,"Refers to educational achievement in the overall population. We used aggregated data from individual level of education to retrieve (1) the percentage of population age 25 or above that has completed high school level or above, and (2) the percentage of population age 25 or above that completed university level or above. The score was created by summing the Z-scores for each variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). Higher score values signify better educational achievement in the population.","Social, Economic, and Services Environment",Education,SEC_INDEXSCORES_v1.0,3799,248,4047,""
1,yes,93%,CNSSEI,Social environment index ,"This index aims to summarize the domains of education, water acces, sanitation and overcrowding. For its construction, one measure from each of the four domains of education (proportion of the population aged 25 or older who completed primary education or above), water access (proportion of households with piped water access inside the dwelling), sanitation (proportion of households connected to a public sewage network), and overcrowding (proportion of households with more than 3 people per room) was selected. Each measure was transformed into a Z-score using the mean and standard deviation from the census data. Overcrowding was reverse coded such that the direction of all measures indicate a better social environment. The four measures were summed then divided by 4 assuming equal weights for all four measures.  This index was developed using data for cities (L1AD), the same method was applied to create the index at sub-city (L2) level. The higher the index the best social environment.","Social, Economic, and Services Environment",Education; Housing and Infrastructure,SEC_INDEXSCORES_v1.0,3562,248,3810,""
1,yes,100%,CNSSEWANY,Any sewage connection,"Percentage of households connected to a sewage system of any type. A sewage connection includes a connection to a sewage system or a septic tank. The absence of a sewage connection includes non-sanitary pit latrines, disposal in natural bodies of water, or others.","Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,136270,0,136270,""
1,yes,100%,CNSSEWNET,Sewage network connection,Percentage of households connected to a sewage network.,"Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,100885,0,100885,""
1,yes,100%,CNSST,School attendance,Percentage of the population aged 15 to 17 years attending school.,"Social, Economic, and Services Environment",Education,SEC_Census_v1.0,269752,0,269752,""
1,yes,100%,CNSSTRAT,"School attendance, female to male ratio",Ratio of the proportion of the female population aged 15 to 17 attending school to the proportion of the male population aged 15 to 17 attending school.,"Social, Economic, and Services Environment",Gender Equity; Education,SEC_Census_v1.0,88016,0,88016,""
1,yes,100%,CNSUNEMP,Unemployment,"Percentage of the labor force (15 years of age and older) who are unemployed and are actively seeking employment, unemployment rate. (Unemployed)/(Employed + Unemployed)","Social, Economic, and Services Environment",Economy,SEC_Census_v1.0,274884,0,274884,""
1,yes,100%,CNSWA1,Labor Force Women’s Achievement (or women's achievement score 1),"The variable captures factors related to employment and marriage. This score includes two variables: 1) % of women in the labor force, 2) % women 15-17 married among the female 15-17 population.  For the construction of the score, we reverse coded the marriage indicator so higher score values signify higher achievements. A higher value indicates higher achievement among women. The variable uses census measures: The labor force participation rate among the female population 15 years or above and the proportion of females aged 15-17 who were married among the total female population ages 15 to 17 (reverse coded). Women's achievement scores were derived from a principle components analysis.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,366,0,366,""
1,yes,100%,CNSWA2,Education Women’s Achievement   (or women's achievement score 2),"The variable captures factors related to women’s education. It includes 2 indicators: 1) % women ages 25+ with at least high school education (Proportion of the female population aged 25 or older who completed secondary education or above), 2) % women ages 25+ with at least university education (Proportion of the female population aged 25 or older who completed university education or above). A higher value indicates higher education among women. This version of Education Woman’s Achievement includes all L1ADs where census measures are available and the z-scores are created using the mean and standard deviation of the whole sample. Women's achievement scores were derived from a principle components analysis.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,366,0,366,""
1,yes,100%,CNSWA3,Health Care Women’s Achievement (or women's achievement score 3),"The variable refers to health care for women. This score is only available for a limited number of countries (Argentina, Brazil, Chile, and Mexico). We estimated the prevalence of women ages 25 to 49 with a pap test in the last 3 years and the prevalence of women 50 to 49 with a mammogram in the last 2 years. These measures were used as indicators for health care for women.  A higher value indicates better health care among women. Women's achievement scores were derived from a principle components analysis.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,129,0,129,""
1,yes,100%,CNSWAH1,Labor Force Women’s achievement with health care indictors ,"The variable captures factors related to employment, marriage, and health care indicators. This score includes four variables: 1) % of women in the labor force, 2) % women 15-17 married among the female 15-17 population, 3) % women 25 to 49 with a pap test in the last 3 years, and 4) % women 50 to 79 with a mammogram in the last 2 years. For the construction of the score, we reverse coded the marriage indicator so higher score values signify higher achievements. A higher value indicates higher achievement. This score is available in Argentina, Brazil, Chile, and Mexico. Women's achievement scores were derived from a principle components analysis.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,129,0,129,""
1,yes,100%,CNSWAH2,Education Women’s achievement excluding countries without health care data,"the variable captures factors related to women’s education standardized only to the countries where health care indicators are available. It includes 2 indicators: 1) % women ages 25+ with at least high school education, 2) % women ages 25+ with at least university education. This version uses the same variables as the Woman’s Achievements score 2 (CNSWA2L1AD) with the only difference being that this version creates Z scores for the score components using only the countries with health care data (Argentina, Brazil, Chile, and Mexico). This variable is created by standardizing education variables to the distribution of the L1ADs with health care measures available. Women's achievement scores were derived from a principle components analysis.","Social, Economic, and Services Environment",Gender Equity,wescores_v1.0,129,0,129,""
1,yes,100%,CNSWALLDUR1,"Walls, durable materials","Percentage of dwellings with exterior walls mostly composed of durable materials. Durable materials include masonry, stone, cement, adobe, metal, glass, and other fabricated materials (sometimes mixed with wood).","Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,23763,0,23763,""
1,yes,100%,CNSWALLDUR2,"Walls, masonry type materials","Percentage of dwellings with exterior walls mostly made of brick, stone, concrete, cement and/or similar materials. Walls made of adobe materials are excluded due to variations in how adobe is defined across countries.","Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,23763,0,23763,""
1,yes,100%,CNSWALLDUR3,"Walls, country-defined durable",Percentage of all dwellings with exterior walls made of materials that the country has defined as durable. Individual country wall durability definitions are based on descriptions used by the respective national statistics agency.  ,"Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,23763,0,23763,""
1,yes,100%,CNSWATIN,Indoor piped water,Percentage of households with piped water access inside the dwelling.,"Social, Economic, and Services Environment",Housing and Infrastructure,SEC_Census_v1.0,48708,0,48708,""
